10	0	0	0	0	0	0	0	0	0
1	17.19607843137255	20.502512562814072	21.098039215686274	35.75125628140704	0	0	0	0	0
2	6.666666666666667	30.379061371841154	9.382352941176471	40.68953068592057	0	0	0	0	0
3	17.19607843137255	0.0	21.098039215686274	10.251256281407036	0	0	0	0	0
4	6.666666666666667	15.649819494584836	9.382352941176471	23.014440433212997	0	0	0	0	0
5	12.098039215686274	0.0	14.647058823529411	11.76923076923077	0	0	0	0	0
6	12.098039215686274	35.30769230769231	14.647058823529411	43.15384615384615	0	0	0	0	0
7	12.098039215686274	23.53846153846154	14.647058823529411	29.423076923076927	0	0	0	0	0
8	6.666666666666667	0.0	9.382352941176471	7.824909747292418	0	0	0	0	0
9	0.0	17.849999999999998	3.3333333333333335	34.425	0	0	0	0	0
10	0.0	0.0	3.3333333333333335	8.924999999999999	0	0	0	0	0
18818.64145175962	25.0	51.0	0	0	0	0	0	0	0
9	8	7	3	1	4	6	5	2	0
0	1	0	0	1	0	0	1	0	1
