12	0	0	0	0	0	0	0	0	0	0	0
1	2.0	2.0	3.0	2.25	0	0	0	0	0	0	0
2	2.6666666666666665	3.5	3.0	4.25	0	0	0	0	0	0	0
3	2.0	5.0	3.0	5.25	0	0	0	0	0	0	0
4	2.0	3.5	2.3333333333333335	4.25	0	0	0	0	0	0	0
5	2.0	2.5	3.0	2.75	0	0	0	0	0	0	0
6	2.0	3.0	3.0	3.25	0	0	0	0	0	0	0
7	2.0	5.5	3.0	5.75	0	0	0	0	0	0	0
8	3.3333333333333335	3.5	3.666666666666667	4.25	0	0	0	0	0	0	0
9	2.0	0.0	3.0	1.0	0	0	0	0	0	0	0
10	2.0	6.0	3.0	7.0	0	0	0	0	0	0	0
11	4.0	0.0	5.0	4.0	0	0	0	0	0	0	0
12	0.0	0.0	1.0	4.0	0	0	0	0	0	0	0
123.66666666666667	6.0	8.0	0	0	0	0	0	0	0	0	0
11	9	6	2	3	1	7	5	4	0	8	10
1	11	10	3	4	9	7	6	8	5	2	0
1	1	1	0	0	0	0	1	0	1	0	0
