19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.0	0.5	4.5	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3.0	1.0	3.5	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2.0	0.0	2.5	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.0	7.0	1.0	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.0	3.0	0.5	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5.0	3.5	5.5	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5.0	0.5	5.5	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1.0	3.0	1.5	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0.0	2.0	1.0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	5.0	6.5	5.5	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0.0	1.0	0.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1.0	1.0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3.0	0.0	3.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0.0	0.5	1.0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0.0	0.0	1.0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	5.0	8.5	5.5	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	4.0	0.0	5.0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	4.0	9.5	5.0	9.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	3.0	9.0	3.5	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8067.0	6.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	7	8	10	11	13	14	2	18	1	12	17	0	15	9	5	6	16
9	8	4	6	12	5	13	18	14	11	10	1	15	3	2	16	17	7	0
1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
